"y1" "y2" "y3" "y4" "y5" "y6" "y7" "y8" "y9" "y10" "y11" "y12" "y13" "y14" "y15"
"y1" 2.283 0.7 0.7 0 0 0 0.11 0.077 0.077 0.1 0.07 0.07 0.121 0.0847 0.0847
"y2" 0.7 1.119 0.49 0 0.377 0 0.077 0.4309 0.0539 0.07 0.426 0.049 0.0847 0.4363 0.0593
"y3" 0.7 0.49 1.119 0 0 0.377 0.077 0.0539 0.4309 0.07 0.049 0.426 0.0847 0.0593 0.4363
"y4" 0 0 0 2.283 0.7 0.7 0.11 0.077 0.077 0.1 0.07 0.07 0.021 0.0147 0.0147
"y5" 0 0.377 0 0.7 1.119 0.49 0.077 0.4309 0.0539 0.07 0.426 0.049 0.0147 0.3873 0.0103
"y6" 0 0 0.377 0.7 0.49 1.119 0.077 0.0539 0.4309 0.07 0.049 0.426 0.0147 0.0103 0.3873
"y7" 0.11 0.077 0.077 0.11 0.077 0.077 2.3381 0.7169 0.7169 0.121 0.0847 0.0847 0.1255 0.0879 0.0879
"y8" 0.077 0.4309 0.0539 0.077 0.4309 0.0539 0.7169 1.1458 0.5018 0.0847 0.4363 0.0593 0.0879 0.4385 0.0615
"y9" 0.077 0.0539 0.4309 0.077 0.0539 0.4309 0.7169 0.5018 1.1458 0.0847 0.0593 0.4363 0.0879 0.0615 0.4385
"y10" 0.1 0.07 0.07 0.1 0.07 0.07 0.121 0.0847 0.0847 2.306 0.707 0.707 0.1231 0.0862 0.0862
"y11" 0.07 0.426 0.049 0.07 0.426 0.049 0.0847 0.4363 0.0593 0.707 1.1299 0.4949 0.0862 0.4373 0.0603
"y12" 0.07 0.049 0.426 0.07 0.049 0.426 0.0847 0.0593 0.4363 0.707 0.4949 1.1299 0.0862 0.0603 0.4373
"y13" 0.121 0.0847 0.0847 0.021 0.0147 0.0147 0.1255 0.0879 0.0879 0.1231 0.0862 0.0862 2.345 0.7189 0.7189
"y14" 0.0847 0.4363 0.0593 0.0147 0.3873 0.0103 0.0879 0.4385 0.0615 0.0862 0.4373 0.0603 0.7189 1.1492 0.5032
"y15" 0.0847 0.0593 0.4363 0.0147 0.0103 0.3873 0.0879 0.0615 0.4385 0.0862 0.0603 0.4373 0.7189 0.5032 1.1492
